iter	Passed	Remaining
0	148	148205
1	149	74442
2	149	49784
3	150	37453
4	151	30079
5	151	25165
6	152	21631
7	153	18976
8	153	16919
9	154	15268
10	154	13919
11	155	12817
12	156	11918
13	157	11119
14	158	10415
15	159	9801
16	159	9250
17	160	8758
18	161	8348
19	162	7954
20	163	7602
21	163	7280
22	164	6982
23	164	6708
24	165	6457
25	166	6234
26	168	6072
27	169	5878
28	170	5697
29	170	5523
30	171	5360
31	172	5206
32	172	5067
33	173	4933
34	174	4806
35	174	4684
36	175	4567
37	176	4457
38	176	4352
39	177	4253
40	177	4157
41	180	4111
42	181	4033
43	182	3965
44	183	3904
45	184	3828
46	185	3770
47	186	3702
48	187	3637
49	188	3573
50	188	3511
51	189	3451
52	189	3394
53	190	3341
54	191	3292
55	193	3266
56	194	3217
57	195	3170
58	195	3123
59	196	3080
60	197	3042
61	198	3004
62	199	2963
63	200	2926
64	200	2887
65	201	2853
66	202	2816
67	202	2781
68	203	2749
69	204	2715
70	205	2682
71	205	2649
72	206	2617
73	206	2585
74	207	2555
75	207	2525
76	208	2496
77	209	2470
78	209	2443
79	210	2418
80	210	2392
81	212	2377
82	213	2358
83	214	2335
84	215	2323
85	216	2301
86	217	2278
87	217	2256
88	218	2235
89	219	2222
90	222	2220
91	223	2202
92	223	2183
93	224	2164
94	225	2145
95	225	2125
96	226	2106
97	226	2087
98	227	2069
99	228	2052
100	228	2034
101	229	2017
102	229	2000
103	230	1983
104	230	1968
105	231	1952
106	232	1936
107	232	1920
108	233	1905
109	233	1891
110	234	1877
111	235	1863
112	235	1849
113	236	1835
114	236	1822
115	237	1809
116	237	1795
117	238	1782
118	238	1769
119	239	1756
120	240	1744
121	240	1732
122	241	1720
123	241	1708
124	242	1696
125	242	1684
126	243	1673
127	244	1662
128	244	1651
129	245	1640
130	246	1634
131	247	1624
132	247	1614
133	248	1603
134	248	1593
135	249	1583
136	249	1573
137	250	1563
138	251	1554
139	251	1545
140	252	1536
141	252	1527
142	253	1518
143	253	1509
144	254	1500
145	254	1491
146	255	1482
147	256	1473
148	256	1465
149	257	1457
150	257	1449
151	258	1441
152	259	1434
153	259	1426
154	260	1419
155	260	1411
156	261	1404
157	262	1396
158	262	1389
159	263	1381
160	263	1373
161	264	1366
162	264	1359
163	265	1353
164	266	1347
165	266	1340
166	267	1334
167	268	1327
168	268	1320
169	269	1313
170	269	1307
171	270	1301
172	271	1295
173	271	1289
174	272	1283
175	272	1277
176	273	1271
177	274	1266
178	274	1261
179	275	1254
180	276	1249
181	276	1243
182	277	1238
183	277	1232
184	278	1226
185	278	1220
186	279	1214
187	280	1210
188	280	1204
189	281	1199
190	281	1193
191	283	1191
192	283	1186
193	284	1180
194	284	1175
195	285	1170
196	285	1164
197	286	1159
198	286	1154
199	287	1149
200	288	1144
201	288	1140
202	289	1136
203	290	1131
204	290	1127
205	291	1122
206	291	1117
207	292	1113
208	292	1108
209	293	1103
210	293	1099
211	294	1094
212	295	1090
213	295	1086
214	296	1082
215	297	1078
216	297	1074
217	298	1070
218	299	1066
219	299	1062
220	300	1058
221	300	1054
222	301	1050
223	302	1047
224	302	1042
225	303	1039
226	303	1034
227	305	1033
228	305	1029
229	306	1025
230	307	1022
231	307	1018
232	308	1016
233	309	1012
234	309	1008
235	310	1004
236	310	1001
237	311	997
238	312	993
239	312	989
240	313	986
241	313	983
242	314	979
243	315	976
244	315	972
245	316	969
246	316	965
247	317	962
248	317	958
249	318	955
250	319	952
251	319	949
252	320	946
253	321	942
254	321	939
255	322	936
256	322	932
